Id,Label,Art_num
652,Daniel Błaszkiewicz,1
653,Miłosz Błaszkiewicz,2
654,Bartosz Błaszków,1
655,Jędrzej Blaut,43
656,Paweł Błaut,12
657,Ludwik Błaż,149
658,Teresa Błaż,100
659,Michał Błażejczyk,0
660,Marta Błażewicz,352
661,Stanisław Błażewicz,400
662,Rasti Blbas,0
663,Mieczysław Blecharz,5
664,Leszek Błędowski,1
665,Jacek Blezień,2
666,Jacek Blicharski,44
667,Marek Blicharski,154
668,Gabriela Blicharz,1
669,Krzysztof Blicharz,0
670,Daria Blinowska,1
671,Michał Bloch,1
672,Magdalena Blok,3
673,Sławomir Blok,3
674,Aleksandra Błoniarz,29
675,Jakub Błoniarz,1
676,Remigiusz Błoniarz,32
677,Artur Blum,56
678,Łukasz Blum,3
679,Ewa Bobala,2
680,Grażyna Bobek,2
681,Krzysztof Bobek,2
682,Szymon Bobek,61
683,Anna Bobela,1
684,Maciej Bober,1
685,Piotr Bober,2
686,Rita Bobicka-Łabno,0
687,Paulina Bobowska,1
688,Kamila Bobrek,2
689,Andrzej Bobrowski,344
690,Artur Bobrowski,183
691,Rafał Bobrowski,6
692,Eugeniusz Bobula,19
693,Jan Bobula,1
694,Mikołaj Bobula,0
695,Maciej Bobulski,9
696,Tomasz Bochacik,7
697,Andrzej Bochenek,1
698,Andrzej Bochenek,1
699,Anna Bochenek,1
700,Michał Bochenek,10
701,Monika Bochenek,17
702,Monika Bochenek,1
703,Piotr Bochenek,6
704,Przemysław Bochenek,1
705,Magda Bocheńska,1
706,Sabina Bocheńska,8
707,Marcin Bocheński,1
708,Łukasz Bochniak,1
709,Włodzimierz Bochniak,204
710,Wojciech Bochniak,30
711,Agata Bochniarz,2
712,Monika Boćniewicz,2
713,Grzegorz Boczkal,99
714,Jakub Boczkowski,3
715,Adolf Boda,13
716,Paweł Bodio,1
717,Wiktor Bodnar,14
718,Andrzej Boduch,1
719,Dominik Bodzek,1
720,Joanna Bodziarczyk,2
721,Sławomir Bodzioch,5
722,Norbert Bodziony,1
723,Przemysław Bodziony,52
724,Aleksandra Bodzon,2
725,Anna Bodzoń-Kułakowska,108
726,Leszek Bodzoń,9
727,Artur Bogacki,2
728,Marek Bogacki,114
729,Piotr Bogacki,10
730,Adrian Bogacz,9
731,Agata Bogacz,1
732,Kamil Bogacz,1
733,Mariusz Bogacz,9
734,Paweł Bogacz,140
735,Paweł Bogacz,1
736,Rafał Bogacz,2
737,Grzegorz Bogdał,1
738,Benon Bogdan,1
739,Marek Bogdan,1
740,Anna Bogucka,2
741,Konrad Boguń,1
742,Fabian Bogusz,15
743,Katarzyna Bogusz,1
744,Marek Bogusz,15
745,Patryk Bogusz,1
746,Łukasz Bohdan,2
747,Lukas Böhler,9
748,Maksym Boiar,0
749,Khrystyna Boichuk,1
750,Oleksandr Boiko,9
751,Damian Bojanowski,5
752,Grzegorz Bojdys,17
753,Łukasz Bojko,83
754,Mateusz Bojko,1
755,Tomasz Bojko,23
756,Maciej Bojkowski,7
757,Wszebor Boksa,10
758,Igor Bokun,8
759,Tomasz Bołd,1332
760,Mirosław Bolek,1
761,Szymon Bolek,3
762,Filip Bolesta,3
763,Wioleta Bolesta,14
764,Andrzej Bolewski,2
765,Andrzej Bolewski,22
766,Monika Bolka,9
767,Naresh Bollampally,1
768,Łukasz Bołoz,160
769,Piotr Bomba,2
770,Andrzej Bombik,12
771,Bartłomiej Bonar,5
772,Bartłomiej J. Bonarski,8
773,Gregory Bond,1
774,Khrystyna Bondarchuk,1
775,Zbigniew Bonderek,65
776,Robert Bongartz,1
777,Julia Boniecka,1
778,Maria Bonikowska,2
779,Michał Bonk,26
780,Marcin Borcuch,29
